os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
77.5374,12897,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,349124552
80.782,12379,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,449180808
81.6593,12246,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,549237304
75.03,13328,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,649293290
74.0686,13501,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,749349247
76.2195,13120,15.1292,97,76,65,2392,1000,3.00412,141,6.45852,849405583
79.4029,12594,4.19753,99,75,65,2411,1000,3.01314,142,6.42207,949461959
205.423,4868,4.19753,99,75,65,2411,1000,3.01314,142,6.42207,1049518045
78.6225,12719,4.19753,99,75,65,2411,1000,3.01314,142,6.42207,1149575262
74.4103,13439,4.19753,99,75,65,2411,1000,3.01314,142,6.42207,1249634828
69.43,14403,4.19753,99,75,65,2411,1000,3.01314,142,6.42207,1349691894
74.3439,13451,4.67405,99,73,65,2401,1000,3.00996,140,6.41911,1449748900
74.912,13349,4.67405,99,73,65,2401,1000,3.00996,140,6.41911,1549805976
82.7952,12078,4.67405,99,73,65,2401,1000,3.00996,140,6.41911,1649863193
82.7404,12086,4.67405,99,73,65,2401,1000,3.00996,140,6.41911,1749920069
73.4376,13617,4.67405,99,73,65,2401,1000,3.00996,140,6.41911,1849976895
72.2804,13835,3.71747,99,71,65,2403,1000,3.00996,140,6.4213,1950034401
79.3651,12600,3.71747,99,71,65,2403,1000,3.00996,140,6.4213,2050090678
72.5268,13788,3.71747,99,71,65,2403,1000,3.00996,140,6.4213,2150147314
73.6486,13578,3.71747,99,71,65,2403,1000,3.00996,140,6.4213,2250203680
73.888,13534,3.71747,99,71,65,2403,1000,3.00996,140,6.4213,2350261036
70.9723,14090,4.31034,99,70,64,2400,1000,3.0075,139,6.4213,2450319643
42.3496,23613,4.31034,99,70,64,2400,1000,3.0075,139,6.4213,2550378649
72.1137,13867,4.31034,99,70,64,2400,1000,3.0075,139,6.4213,2650436495
72.1657,13857,4.31034,99,70,64,2400,1000,3.0075,139,6.4213,2750494331
69.5072,14387,4.31034,99,70,64,2400,1000,3.0075,139,6.4213,2850550398
79.7512,12539,5.74572,99,68,65,2399,1000,3.00968,139,6.4213,2950606884
74.9457,13343,5.74572,99,68,65,2399,1000,3.00968,139,6.4213,3050663950
72.2439,13842,5.74572,99,68,65,2399,1000,3.00968,139,6.4213,3150720296
79.164,12632,5.74572,99,68,65,2399,1000,3.00968,139,6.4213,3250777003
73.3622,13631,5.74572,99,68,65,2399,1000,3.00968,139,6.4213,3350834199
79.7766,12535,4.01003,99,67,65,2400,1000,3.01641,139,6.42081,3450890215
75.1654,13304,4.01003,99,67,65,2400,1000,3.01641,139,6.42081,3550949521
63.1353,15839,4.01003,99,67,65,2400,1000,3.01641,139,6.42081,3651007768
71.0985,14065,4.01003,99,67,65,2400,1000,3.01641,139,6.42081,3751064894
