os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
72.197,13851,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,127879123
76.1905,13125,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,227937239
54.2947,18418,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,327994746
72.7484,13746,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,428052012
102.48,9758,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,528108988
77.991,12822,11.2058,99,62,60,2474,1000,2.96053,157,5.00954,628166434
69.1037,14471,13.1026,97,62,60,2408,1000,2.96053,153,4.98077,728222761
65.7333,15213,13.1026,97,62,60,2408,1000,2.96053,153,4.98077,828297777
71.2911,14027,13.1026,97,62,60,2408,1000,2.96053,153,4.98077,928355223
71.6846,13950,13.1026,97,62,60,2408,1000,2.96053,153,4.98077,1028387619
72.448,13803,13.1026,97,62,60,2408,1000,2.96053,153,4.98077,1128443655
65.0449,15374,9.53545,99,62,60,2476,1000,3.01831,157,4.98574,1228501072
71.3827,14009,9.53545,99,62,60,2476,1000,3.01831,157,4.98574,1328557888
65.4365,15282,9.53545,99,62,60,2476,1000,3.01831,157,4.98574,1428614424
73.1904,13663,9.53545,99,62,60,2476,1000,3.01831,157,4.98574,1528671040
77.2678,12942,9.53545,99,62,60,2476,1000,3.01831,157,4.98574,1628727617
61.6295,16226,8.37438,99,62,60,2475,1000,3.01831,157,4.98877,1728784523
70.7864,14127,8.37438,99,62,60,2475,1000,3.01831,157,4.98877,1828841829
76.2137,13121,8.37438,99,62,60,2475,1000,3.01831,157,4.98877,1928898015
64.3915,15530,8.37438,99,62,60,2475,1000,3.01831,157,4.98877,2028953792
68.8279,14529,8.37438,99,62,60,2475,1000,3.01831,157,4.98877,2129010378
70.6464,14155,7.28395,99,61,61,2465,1000,3.01463,155,4.98613,2229066864
65.9761,15157,7.28395,99,61,61,2465,1000,3.01463,155,4.98613,2329124280
70.9119,14102,7.28395,99,61,61,2465,1000,3.01463,155,4.98613,2429182067
60.4558,16541,7.28395,99,61,61,2465,1000,3.01463,155,4.98613,2529251663
71.3165,14022,7.28395,99,61,61,2465,1000,3.01463,155,4.98613,2629310939
64.9604,15394,7.0632,99,60,61,2465,1000,3.0178,154,4.98999,2729368635
71.0227,14080,7.0632,99,60,61,2465,1000,3.0178,154,4.98999,2829425982
71.3267,14020,7.0632,99,60,61,2465,1000,3.0178,154,4.98999,2929482788
66.5646,15023,7.0632,99,60,61,2465,1000,3.0178,154,4.98999,3029540354
69.9203,14302,7.0632,99,60,61,2465,1000,3.0178,154,4.98999,3129597990
71.9476,13899,5.63035,99,60,61,2464,1000,2.96962,154,4.99048,3229655827
73.5673,13593,5.63035,99,60,61,2464,1000,2.96962,154,4.99048,3329716273
67.7553,14759,5.63035,99,60,61,2464,1000,2.96962,154,4.99048,3429775519
74.206,13476,5.63035,99,60,61,2464,1000,2.96962,154,4.99048,3529833075
