0.1% Min FPS,1% Min FPS,97% Percentile FPS,Average FPS,GPU Load,CPU Load
14.4,25.7,102.9,76.4,97.9,16.7
23.9,30.9,102.6,75.8,98.2,13.4
33.2,40.6,130.7,78.0,98.6,10.4
14.8,33.4,91.8,74.5,98.5,9.7
28.7,36.0,99.1,75.0,98.5,12.8
27.1,41.1,102.3,75.1,98.5,11.3
