os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
84.1043,11890,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,184210778
71.0379,14077,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,284280065
71.5461,13977,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,384348451
83.5422,11970,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,484405667
77.4833,12906,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,584465443
70.7864,14127,7.78589,99,71,66,2383,1000,2.66569,139,7.5823,684521410
69.4782,14393,9.37115,98,71,67,2366,1000,2.66764,138,7.5524,784577386
69.5894,14370,9.37115,98,71,67,2366,1000,2.66764,138,7.5524,884634902
67.792,14751,9.37115,98,71,67,2366,1000,2.66764,138,7.5524,984690768
68.9988,14493,9.37115,98,71,67,2366,1000,2.66764,138,7.5524,1084746464
63.3312,15790,9.37115,98,71,67,2366,1000,2.66764,138,7.5524,1184802941
71.0026,14084,5.04305,99,70,66,2370,1000,2.66764,138,7.53982,1284859077
67.3582,14846,5.04305,99,70,66,2370,1000,2.66764,138,7.53982,1384914853
64.7584,15442,5.04305,99,70,66,2370,1000,2.66764,138,7.53982,1484970979
65.9326,15167,5.04305,99,70,66,2370,1000,2.66764,138,7.53982,1585027156
65.7678,15205,5.04305,99,70,66,2370,1000,2.66764,138,7.53982,1685083582
67.1727,14887,5.63035,99,69,67,2370,1000,2.66764,138,7.53921,1785139028
116.306,8598,5.63035,99,69,67,2370,1000,2.66764,138,7.53921,1885195104
75.861,13182,5.63035,99,69,67,2370,1000,2.66764,138,7.53921,1985251501
65.716,15217,5.63035,99,69,67,2370,1000,2.66764,138,7.53921,2085308007
63.5526,15735,5.63035,99,69,67,2370,1000,2.66764,138,7.53921,2185365333
62.7628,15933,9.257,99,68,66,2369,1000,2.66764,137,7.53606,2285422709
66.9523,14936,9.257,99,68,66,2369,1000,2.66764,137,7.53606,2385479826
63.8774,15655,9.257,99,68,66,2369,1000,2.66764,137,7.53606,2485536962
64.1931,15578,9.257,99,68,66,2369,1000,2.66764,137,7.53606,2585594328
65.591,15246,9.257,99,68,66,2369,1000,2.66764,137,7.53606,2685655414
61.9272,16148,6.25767,99,67,67,2365,1000,2.69839,136,7.53626,2785711071
67.7048,14770,6.25767,99,67,67,2365,1000,2.69839,136,7.53626,2885767167
66.8762,14953,6.25767,99,67,67,2365,1000,2.69839,136,7.53626,2985824593
76.7754,13025,6.25767,99,67,67,2365,1000,2.69839,136,7.53626,3085880659
27.5383,36313,6.25767,99,67,67,2365,1000,2.69839,136,7.53626,3185937766
68.5965,14578,16.0648,99,66,67,2367,1000,2.77582,137,7.55002,3285995122
69.6185,14364,16.0648,99,66,67,2367,1000,2.77582,137,7.55002,3386051788
60.2228,16605,16.0648,99,66,67,2367,1000,2.77582,137,7.55002,3486108444
79.6495,12555,16.0648,99,66,67,2367,1000,2.77582,137,7.55002,3586165521
