os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
71.7103,13945,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,236452722
74.0686,13501,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,336512168
73.0674,13686,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,436568604
60.2955,16585,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,536626880
55.4662,18029,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,636683697
81.9538,12202,18.3851,97,77,65,2336,1000,2.74692,138,7.64245,736739883
76.2311,13118,7.94621,99,76,66,2395,1000,2.62261,140,7.61079,836800689
64.6789,15461,7.94621,99,76,66,2395,1000,2.62261,140,7.61079,936856695
62.3208,16046,7.94621,99,76,66,2395,1000,2.62261,140,7.61079,1036925352
64.2055,15575,7.94621,99,76,66,2395,1000,2.62261,140,7.61079,1136982348
62.7589,15934,7.94621,99,76,66,2395,1000,2.62261,140,7.61079,1237036784
60.8939,16422,6.40394,99,75,66,2385,1000,2.60823,138,7.61054,1337092310
60.7017,16474,6.40394,99,75,66,2385,1000,2.60823,138,7.61054,1437149437
61.252,16326,6.40394,99,75,66,2385,1000,2.60823,138,7.61054,1537206553
60.4303,16548,6.40394,99,75,66,2385,1000,2.60823,138,7.61054,1637262449
55.3863,18055,6.40394,99,75,66,2385,1000,2.60823,138,7.61054,1737318785
60.6134,16498,4.49438,99,73,66,2381,1000,2.63853,138,7.61102,1837375121
60.7607,16458,4.49438,99,73,66,2381,1000,2.63853,138,7.61102,1937402398
63.7227,15693,4.49438,99,73,66,2381,1000,2.63853,138,7.61102,2037459384
59.1821,16897,4.49438,99,73,66,2381,1000,2.63853,138,7.61102,2137516070
89.3176,11196,4.49438,99,73,66,2381,1000,2.63853,138,7.61102,2237575616
68.4369,14612,18.3047,97,72,66,2300,1000,2.7987,136,7.61535,2337632113
50.6329,19750,18.3047,97,72,66,2300,1000,2.7987,136,7.61535,2437690289
66.1507,15117,18.3047,97,72,66,2300,1000,2.7987,136,7.61535,2537748905
55.0085,18179,18.3047,97,72,66,2300,1000,2.7987,136,7.61535,2637804701
58.3805,17129,18.3047,97,72,66,2300,1000,2.7987,136,7.61535,2737862598
65.7678,15205,30.4619,97,73,66,2300,1000,2.89813,136,7.61581,2837918954
55.8972,17890,30.4619,97,73,66,2300,1000,2.89813,136,7.61581,2937977800
49.7686,20093,30.4619,97,73,66,2300,1000,2.89813,136,7.61581,3038037186
81.4332,12280,30.4619,97,73,66,2300,1000,2.89813,136,7.61581,3138093773
155.86,6416,30.4619,97,73,66,2300,1000,2.89813,136,7.61581,3238151309
74.1125,13493,31.1496,99,73,66,2393,1000,2.90542,139,7.62057,3338209155
98.7752,10124,31.1496,99,73,66,2393,1000,2.90542,139,7.62057,3438267821
72.7431,13747,31.1496,99,73,66,2393,1000,2.90542,139,7.62057,3538325008
73.8607,13539,31.1496,99,73,66,2393,1000,2.90542,139,7.62057,3638382074
