os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
70.4821,14188,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,392608753
85.9476,11635,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,492664980
72.0461,13880,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,592721476
147.059,6800,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,692778362
73.6648,13575,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,792834848
75.9532,13166,8.89988,97,73,67,2312,1000,2.64619,137,6.53077,892891424
70.5667,14171,5.125,99,72,66,2383,1000,2.65765,139,6.49824,992947931
74.9906,13335,5.125,99,72,66,2383,1000,2.65765,139,6.49824,1093004027
72.5005,13793,5.125,99,72,66,2383,1000,2.65765,139,6.49824,1193060393
68.8658,14521,5.125,99,72,66,2383,1000,2.65765,139,6.49824,1293116269
72.59,13776,5.125,99,72,66,2383,1000,2.65765,139,6.49824,1393172746
71.3369,14018,4.71464,99,71,67,2373,1000,2.6557,138,6.49807,1493228942
65.4236,15285,4.71464,99,71,67,2373,1000,2.6557,138,6.49807,1593286808
78.7588,12697,4.71464,99,71,67,2373,1000,2.6557,138,6.49807,1693344674
65.6728,15227,4.71464,99,71,67,2373,1000,2.6557,138,6.49807,1793402471
62.9247,15892,4.71464,99,71,67,2373,1000,2.6557,138,6.49807,1893461247
63.1991,15823,35.6033,97,71,66,2333,1000,2.7774,138,6.49957,1993517133
64.9984,15385,35.6033,97,71,66,2333,1000,2.7774,138,6.49957,2093575439
41.5213,24084,35.6033,97,71,66,2333,1000,2.7774,138,6.49957,2193634156
58.0518,17226,35.6033,97,71,66,2333,1000,2.7774,138,6.49957,2293691722
68.0041,14705,35.6033,97,71,66,2333,1000,2.7774,138,6.49957,2393748998
72.0617,13877,19.6005,97,72,66,2329,1000,2.86037,136,6.50294,2493809754
81.7194,12237,19.6005,97,72,66,2329,1000,2.86037,136,6.50294,2593867201
73.7083,13567,19.6005,97,72,66,2329,1000,2.86037,136,6.50294,2693924037
71.9787,13893,19.6005,97,72,66,2329,1000,2.86037,136,6.50294,2793982413
62.7707,15931,19.6005,97,72,66,2329,1000,2.86037,136,6.50294,2894038589
104.646,9556,36.2301,83,72,67,2032,1000,2.9033,124,6.50601,2994094666
64.1519,15588,36.2301,83,72,67,2032,1000,2.9033,124,6.50601,3094151432
68.1152,14681,36.2301,83,72,67,2032,1000,2.9033,124,6.50601,3194208468
85.5066,11695,36.2301,83,72,67,2032,1000,2.9033,124,6.50601,3294266914
67.4946,14816,36.2301,83,72,67,2032,1000,2.9033,124,6.50601,3394324511
67.7966,14750,31.1801,99,72,67,2374,1000,2.99431,139,6.50994,3494380757
73.1904,13663,31.1801,99,72,67,2374,1000,2.99431,139,6.50994,3594438483
46.436,21535,31.1801,99,72,67,2374,1000,2.99431,139,6.50994,3694498059
73.5402,13598,31.1801,99,72,67,2374,1000,2.99431,139,6.50994,3794555925
