0.1% Min FPS,1% Min FPS,97% Percentile FPS,Average FPS,GPU Load,CPU Load
21.8,38.8,93.8,75.1,98.5,10.5
32.5,43.8,95.0,74.1,98.6,8.8
27.5,42.9,93.7,77.8,98.6,10.2
22.8,36.9,103.6,77.3,98.6,10.6
31.9,41.7,90.0,72.8,98.6,9.3
