os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
63.5647,15732,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,172392925
74.3826,13444,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,272449161
73.0087,13697,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,372506027
64.6412,15470,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,472562634
74.985,13336,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,572619320
77.2201,12950,6.47922,99,69,66,2395,1000,2.64646,140,6.44273,672681756
75.2106,13296,9.70149,97,68,65,2369,1000,2.65547,138,6.41978,772738672
71.4184,14002,9.70149,97,68,65,2369,1000,2.65547,138,6.41978,872797229
62.2937,16053,9.70149,97,68,65,2369,1000,2.65547,138,6.41978,972854915
80.8473,12369,9.70149,97,68,65,2369,1000,2.65547,138,6.41978,1072915071
70.5716,14170,9.70149,97,68,65,2369,1000,2.65547,138,6.41978,1172972387
68.2035,14662,5.59006,99,67,66,2386,1000,2.65179,139,6.41898,1273029634
77.9484,12829,5.59006,99,67,66,2386,1000,2.65179,139,6.41898,1373086790
66.6045,15014,5.59006,99,67,66,2386,1000,2.65179,139,6.41898,1473144426
66.1551,15116,5.59006,99,67,66,2386,1000,2.65179,139,6.41898,1573201702
73.9317,13526,5.59006,99,67,66,2386,1000,2.65179,139,6.41898,1673257699
65.4707,15274,4.94438,99,66,65,2386,1000,2.69072,138,6.41826,1773314235
65.3168,15310,4.94438,99,66,65,2386,1000,2.69072,138,6.41826,1873371901
71.2403,14037,4.94438,99,66,65,2386,1000,2.69072,138,6.41826,1973427807
73.078,13684,4.94438,99,66,65,2386,1000,2.69072,138,6.41826,2073484564
72.5163,13790,4.94438,99,66,65,2386,1000,2.69072,138,6.41826,2173541650
64.1396,15591,4.5177,99,64,66,2387,1000,2.6856,138,6.41774,2273597286
66.1332,15121,4.5177,99,64,66,2387,1000,2.6856,138,6.41774,2373653922
63.5647,15732,4.5177,99,64,66,2387,1000,2.6856,138,6.41774,2473710469
60.154,16624,4.5177,99,64,66,2387,1000,2.6856,138,6.41774,2573767365
56.1419,17812,4.5177,99,64,66,2387,1000,2.6856,138,6.41774,2673825651
64.8635,15417,5.43881,99,63,65,2384,1000,2.69822,137,6.41894,2773882527
62.2045,16076,5.43881,99,63,65,2384,1000,2.69822,137,6.41894,2873940333
61.6219,16228,5.43881,99,63,65,2384,1000,2.69822,137,6.41894,2973997670
61.9195,16150,5.43881,99,63,65,2384,1000,2.69822,137,6.41894,3074054516
60.5767,16508,5.43881,99,63,65,2384,1000,2.69822,137,6.41894,3174112112
58.5446,17081,9.50617,99,62,66,2386,1000,2.7873,137,6.41294,3274169568
70.7564,14133,9.50617,99,62,66,2386,1000,2.7873,137,6.41294,3374226425
70.4523,14194,9.50617,99,62,66,2386,1000,2.7873,137,6.41294,3474283481
71.7309,13941,9.50617,99,62,66,2386,1000,2.7873,137,6.41294,3574340167
