os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300700,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
70.1853,14248,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,483951336
74.9513,13342,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,584053028
69.9888,14288,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,684126020
67.6682,14778,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,784200231
72.2752,13836,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,884284803
81.586,12257,8.92421,97,56,66,2372,1000,2.77889,137,4.7157,984389224
76.6107,13053,3.25,99,55,65,2392,1000,2.77889,137,4.70129,1084495956
72.4323,13806,3.25,99,55,65,2392,1000,2.77889,137,4.70129,1184602238
68.171,14669,3.25,99,55,65,2392,1000,2.77889,137,4.70129,1284706659
70.1213,14261,3.25,99,55,65,2392,1000,2.77889,137,4.70129,1384815931
68.018,14702,3.25,99,55,65,2392,1000,2.77889,137,4.70129,1484921152
61.5688,16242,4.60199,99,55,65,2390,1000,2.77889,137,4.70204,1585027134
66.6356,15007,4.60199,99,55,65,2390,1000,2.77889,137,4.70204,1685118516
76.7636,13027,4.60199,99,55,65,2390,1000,2.77889,137,4.70204,1785210777
71.7463,13938,4.60199,99,55,65,2390,1000,2.77889,137,4.70204,1885317679
73.3299,13637,4.60199,99,55,65,2390,1000,2.77889,137,4.70204,1985406770
74.5323,13417,4.125,99,54,65,2390,1000,2.77889,137,4.70375,2085497912
78.2167,12785,4.125,99,54,65,2390,1000,2.77889,137,4.70375,2185604414
73.1797,13665,4.125,99,54,65,2390,1000,2.77889,137,4.70375,2285709145
76.6754,13042,4.125,99,54,65,2390,1000,2.77889,137,4.70375,2385813077
71.0682,14071,4.125,99,54,65,2390,1000,2.77889,137,4.70375,2485917168
69.4203,14405,3.24594,99,54,65,2388,1000,2.79692,136,4.70204,2586021580
67.8564,14737,3.24594,99,54,65,2388,1000,2.79692,136,4.70204,2686125992
63.2471,15811,3.24594,99,54,65,2388,1000,2.79692,136,4.70204,2786231053
69.0131,14490,3.24594,99,54,65,2388,1000,2.79692,136,4.70204,2886321695
69.3626,14417,3.24594,99,54,65,2388,1000,2.79692,136,4.70204,2986405736
63.1512,15835,4.59627,99,53,65,2383,1000,2.79888,136,4.70472,3086455038
71.1491,14055,4.59627,99,53,65,2383,1000,2.79888,136,4.70472,3186549560
70.0329,14279,4.59627,99,53,65,2383,1000,2.79888,136,4.70472,3286651761
68.918,14510,4.59627,99,53,65,2383,1000,2.79888,136,4.70472,3386753933
70.3878,14207,4.59627,99,53,65,2383,1000,2.79888,136,4.70472,3486842954
79.1139,12640,4.30504,99,52,65,2380,1000,2.79779,136,4.70495,3586925766
65.7592,15207,4.30504,99,52,65,2380,1000,2.79779,136,4.70495,3687007698
65.5996,15244,4.30504,99,52,65,2380,1000,2.79779,136,4.70495,3787091689
73.4268,13619,4.30504,99,52,65,2380,1000,2.79779,136,4.70495,3887168451
69.2377,14443,4.30504,99,52,65,2380,1000,2.79779,136,4.70495,3987178322
62.8338,15915,6.02706,99,52,66,2376,1000,2.78255,136,4.70495,4087178044
73.3622,13631,6.02706,99,52,66,2376,1000,2.78255,136,4.70495,4187187945
63.7592,15684,6.02706,99,52,66,2376,1000,2.78255,136,4.70495,4287198007
70.2691,14231,6.02706,99,52,66,2376,1000,2.78255,136,4.70495,4387207708
66.4231,15055,6.02706,99,52,66,2376,1000,2.78255,136,4.70495,4487217570
74.1895,13479,5.75275,99,53,66,2368,1000,2.78255,135,4.70543,4587227171
72.3956,13813,5.75275,99,53,66,2368,1000,2.78255,135,4.70543,4687236863
65.8935,15176,5.75275,99,53,66,2368,1000,2.78255,135,4.70543,4787246424
65.8545,15185,5.75275,99,53,66,2368,1000,2.78255,135,4.70543,4887256426
75.9474,13167,5.75275,99,53,66,2368,1000,2.78255,135,4.70543,4987268118
65.0237,15379,5.07426,99,54,66,2368,1000,2.78484,135,4.70639,5087279719
65.6642,15229,5.07426,99,54,66,2368,1000,2.78484,135,4.70639,5187290871
74.8615,13358,5.07426,99,54,66,2368,1000,2.78484,135,4.70639,5287301682
74.6157,13402,5.07426,99,54,66,2368,1000,2.78484,135,4.70639,5387312874
63.3633,15782,5.07426,99,54,66,2368,1000,2.78484,135,4.70639,5487325085
66.3086,15081,3.85093,99,54,65,2373,1000,2.78049,135,4.70663,5587337527
64.4995,15504,3.85093,99,54,65,2373,1000,2.78049,135,4.70663,5687349608
74.2391,13470,3.85093,99,54,65,2373,1000,2.78049,135,4.70663,5787363860
74.1015,13495,3.85093,99,54,65,2373,1000,2.78049,135,4.70663,5887377371
64.4828,15508,3.85093,99,54,65,2373,1000,2.78049,135,4.70663,5987392863
71.6743,13952,5.1186,99,54,66,2369,1000,2.86372,135,4.70879,6087390154
74.7552,13377,5.1186,99,54,66,2369,1000,2.86372,135,4.70879,6187404196
68.465,14606,5.1186,99,54,66,2369,1000,2.86372,135,4.70879,6287418287
65.0957,15362,5.1186,99,54,66,2369,1000,2.86372,135,4.70879,6387431929
37.262,26837,5.1186,99,54,66,2369,1000,2.86372,135,4.70879,6487448541
83.3125,12003,19.5274,99,55,65,2369,1000,2.83708,135,4.71408,6587464832
75.8265,13188,19.5274,99,55,65,2369,1000,2.83708,135,4.71408,6687484784
72.685,13758,19.5274,99,55,65,2369,1000,2.83708,135,4.71408,6787499895
61.3572,16298,19.5274,99,55,65,2369,1000,2.83708,135,4.71408,6887515367
87.974,11367,19.5274,99,55,65,2369,1000,2.83708,135,4.71408,6987542248
72.0461,13880,26.5356,96,61,66,2285,1000,2.88554,132,4.71863,7087561880
73.7518,13559,26.5356,96,61,66,2285,1000,2.88554,132,4.71863,7187578401
42.7862,23372,26.5356,96,61,66,2285,1000,2.88554,132,4.71863,7287596273
77.0832,12973,26.5356,96,61,66,2285,1000,2.88554,132,4.71863,7387611764
73.8116,13548,26.5356,96,61,66,2285,1000,2.88554,132,4.71863,7487631116
70.0231,14281,39.2279,99,64,66,2373,1000,2.93574,137,4.7316,7587651507
88.7705,11265,39.2279,99,64,66,2373,1000,2.93574,137,4.7316,7687668229
67.792,14751,39.2279,99,64,66,2373,1000,2.93574,137,4.7316,7787687881
69.6718,14353,39.2279,99,64,66,2373,1000,2.93574,137,4.7316,7887705462
71.5308,13980,39.2279,99,64,66,2373,1000,2.93574,137,4.7316,7987727784
82.7198,12089,32.134,95,66,66,2249,1000,2.95293,132,4.73434,8087745865
78.456,12746,32.134,95,66,66,2249,1000,2.95293,132,4.73434,8187765297
66.177,15111,32.134,95,66,66,2249,1000,2.95293,132,4.73434,8287786218
73.0994,13680,32.134,95,66,66,2249,1000,2.95293,132,4.73434,8387812850
58.401,17123,32.134,95,66,66,2249,1000,2.95293,132,4.73434,8487834371
69.6185,14364,30.402,95,68,66,2261,1000,3.06516,133,4.73824,8587855173
71.4694,13992,30.402,95,68,66,2261,1000,3.06516,133,4.73824,8687874244
72.3746,13817,30.402,95,68,66,2261,1000,3.06516,133,4.73824,8787896226
76.9645,12993,30.402,95,68,66,2261,1000,3.06516,133,4.73824,8887917847
127.632,7835,30.402,95,68,66,2261,1000,3.06516,133,4.73824,8987901189
66.8986,14948,34.1646,99,69,66,2360,1000,3.06744,137,4.73656,9087922511
79.0451,12651,34.1646,99,69,66,2360,1000,3.06744,137,4.73656,9187943722
66.0502,15140,34.1646,99,69,66,2360,1000,3.06744,137,4.73656,9287966574
67.254,14869,34.1646,99,69,66,2360,1000,3.06744,137,4.73656,9388016365
34.6129,28891,34.1646,99,69,66,2360,1000,3.06744,137,4.73656,9488038637
73.9536,13522,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,9588058488
70.9975,14085,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,9688082280
68.5401,14590,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,9788105101
80.186,12471,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,9888125933
73.1315,13674,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,9988150944
69.5362,14381,29.0954,98,70,67,2342,1000,3.06985,134,4.73771,10088174486
65.937,15166,27.125,95,71,66,2281,1000,3.11621,132,4.73536,10188198948
70.507,14183,27.125,95,71,66,2281,1000,3.11621,132,4.73536,10288221749
68.2827,14645,27.125,95,71,66,2281,1000,3.11621,132,4.73536,10388244381
69.5943,14369,27.125,95,71,66,2281,1000,3.11621,132,4.73536,10488267102
66.9434,14938,27.125,95,71,66,2281,1000,3.11621,132,4.73536,10588289004
73.7463,13560,35.0856,96,71,66,2243,1000,3.13841,132,4.73616,10688312065
72.5584,13782,35.0856,96,71,66,2243,1000,3.13841,132,4.73616,10788337417
72.8173,13733,35.0856,96,71,66,2243,1000,3.13841,132,4.73616,10888360098
93.2836,10720,35.0856,96,71,66,2243,1000,3.13841,132,4.73616,10988384790
70.7614,14132,35.0856,96,71,66,2243,1000,3.13841,132,4.73616,11088411121
71.9321,13902,26.375,99,72,66,2365,1000,3.18599,135,4.73737,11188435573
71.0884,14067,26.375,99,72,66,2365,1000,3.18599,135,4.73737,11288460764
75.8725,13180,26.375,99,72,66,2365,1000,3.18599,135,4.73737,11388484736
68.1989,14663,26.375,99,72,66,2365,1000,3.18599,135,4.73737,11488508868
