os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
77.2439,12946,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,373830268
72.4638,13800,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,473884904
80.3794,12441,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,573941250
76.8167,13018,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,673996196
75.1428,13308,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,774051063
75.5915,13229,8.46626,95,71,66,2269,1000,2.84514,134,6.73193,874113949
75.1089,13314,5.60976,99,70,66,2369,1000,2.84514,137,6.69975,974181495
74.2776,13463,5.60976,99,70,66,2369,1000,2.84514,137,6.69975,1074238271
76.0225,13154,5.60976,99,70,66,2369,1000,2.84514,137,6.69975,1174294168
76.0514,13149,5.60976,99,70,66,2369,1000,2.84514,137,6.69975,1274348014
79.8913,12517,5.60976,99,70,66,2369,1000,2.84514,137,6.69975,1374401600
71.1035,14064,3.80368,99,68,66,2361,1000,2.85468,136,6.6978,1474455956
70.7965,14125,3.80368,99,68,66,2361,1000,2.85468,136,6.6978,1574510552
70.2691,14231,3.80368,99,68,66,2361,1000,2.85468,136,6.6978,1674565299
71.2099,14043,3.80368,99,68,66,2361,1000,2.85468,136,6.6978,1774619695
70.2889,14227,3.80368,99,68,66,2361,1000,2.85468,136,6.6978,1874674551
69.4348,14402,3.31288,99,67,66,2361,1000,2.85468,135,6.6978,1974729417
76.2486,13115,3.31288,99,67,66,2361,1000,2.85468,135,6.6978,2074783954
69.1276,14466,3.31288,99,67,66,2361,1000,2.85468,135,6.6978,2174838520
70.9673,14091,3.31288,99,67,66,2361,1000,2.85468,135,6.6978,2274884006
68.8895,14516,3.31288,99,67,66,2361,1000,2.85468,135,6.6978,2374938342
67.9025,14727,4.61923,99,66,66,2366,1000,2.84486,135,6.6978,2474993029
68.7474,14546,4.61923,99,66,66,2366,1000,2.84486,135,6.6978,2575047405
69.3963,14410,4.61923,99,66,66,2366,1000,2.84486,135,6.6978,2675101941
69.6233,14363,4.61923,99,66,66,2366,1000,2.84486,135,6.6978,2775156817
67.5037,14814,4.61923,99,66,66,2366,1000,2.84486,135,6.6978,2875211554
72.3537,13821,4.42804,99,65,66,2361,1000,2.84486,134,6.69804,2975268130
68.1152,14681,4.42804,99,65,66,2361,1000,2.84486,134,6.69804,3075322686
67.0017,14925,4.42804,99,65,66,2361,1000,2.84486,134,6.69804,3175377432
73.303,13642,4.42804,99,65,66,2361,1000,2.84486,134,6.69804,3275432499
66.8986,14948,4.42804,99,65,66,2361,1000,2.84486,134,6.69804,3375487135
67.8104,14747,3.79437,99,63,67,2357,1000,2.86289,133,6.69804,3475541681
76.8285,13016,3.79437,99,63,67,2357,1000,2.86289,133,6.69804,3575596407
66.912,14945,3.79437,99,63,67,2357,1000,2.86289,133,6.69804,3675650884
69.9252,14301,3.79437,99,63,67,2357,1000,2.86289,133,6.69804,3775718560
69.6913,14349,3.79437,99,63,67,2357,1000,2.86289,133,6.69804,3875772606
70.5667,14171,4.62287,99,62,67,2352,1000,2.84486,133,6.69852,3975826622
78.2473,12780,4.62287,99,62,67,2352,1000,2.84486,133,6.69852,4075881319
62.4961,16001,4.62287,99,62,67,2352,1000,2.84486,133,6.69852,4175937715
70.6464,14155,4.62287,99,62,67,2352,1000,2.84486,133,6.69852,4275993871
65.7938,15199,4.62287,99,62,67,2352,1000,2.84486,133,6.69852,4376048547
77.006,12986,34.487,97,65,67,2329,1000,2.96059,133,6.70187,4476103313
70.8717,14110,34.487,97,65,67,2329,1000,2.96059,133,6.70187,4576158420
68.3714,14626,34.487,97,65,67,2329,1000,2.96059,133,6.70187,4676212456
68.9941,14494,34.487,97,65,67,2329,1000,2.96059,133,6.70187,4776267152
71.495,13987,34.487,97,65,67,2329,1000,2.96059,133,6.70187,4876321568
110.754,9029,22.3881,99,66,67,2352,1000,3.02211,133,6.70343,4976379195
63.861,15659,22.3881,99,66,67,2352,1000,3.02211,133,6.70343,5076434481
70.7764,14129,22.3881,99,66,67,2352,1000,3.02211,133,6.70343,5176489527
71.8339,13921,22.3881,99,66,67,2352,1000,3.02211,133,6.70343,5276544523
65.9718,15158,22.3881,99,66,67,2352,1000,3.02211,133,6.70343,5376598410
82.0345,12190,28.269,98,68,67,2343,1000,3.00468,134,6.70458,5476653086
77.5916,12888,28.269,98,68,67,2343,1000,3.00468,134,6.70458,5576708382
61.2108,16337,28.269,98,68,67,2343,1000,3.00468,134,6.70458,5676764928
66.912,14945,28.269,98,68,67,2343,1000,3.00468,134,6.70458,5776819065
78.1922,12789,28.269,98,68,67,2343,1000,3.00468,134,6.70458,5876874191
68.3714,14626,30.6633,97,69,66,2327,1000,3.10067,133,6.70565,5976930477
69.7545,14336,30.6633,97,69,66,2327,1000,3.10067,133,6.70565,6076986403
71.7412,13939,30.6633,97,69,66,2327,1000,3.10067,133,6.70565,6177040460
73.9973,13514,30.6633,97,69,66,2327,1000,3.10067,133,6.70565,6277094616
72.5953,13775,30.6633,97,69,66,2327,1000,3.10067,133,6.70565,6377148122
98.3091,10172,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6477203778
74.7328,13381,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6577260435
73.4646,13612,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6677315331
76.9586,12994,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6777371167
69.8373,14319,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6877425393
75.2332,13292,25.8706,97,70,67,2327,1000,3.0997,133,6.70494,6977479749
75.4489,13254,29.6341,99,72,67,2340,1000,3.10144,134,6.70564,7077535226
91.76,10898,29.6341,99,72,67,2340,1000,3.10144,134,6.70564,7177591442
69.3097,14428,29.6341,99,72,67,2340,1000,3.10144,134,6.70564,7277646378
76.7401,13031,29.6341,99,72,67,2340,1000,3.10144,134,6.70564,7377700844
69.7642,14334,29.6341,99,72,67,2340,1000,3.10144,134,6.70564,7477758311
71.7566,13936,30.8075,98,72,67,2333,1000,3.12843,134,6.70572,7577812717
70.6165,14161,30.8075,98,72,67,2333,1000,3.12843,134,6.70572,7677866973
71.8701,13914,30.8075,98,72,67,2333,1000,3.12843,134,6.70572,7777921749
67.6498,14782,30.8075,98,72,67,2333,1000,3.12843,134,6.70572,7877978256
84.5523,11827,30.8075,98,72,67,2333,1000,3.12843,134,6.70572,7978032382
72.0825,13873,26.4669,98,72,67,2338,1000,3.17344,133,6.70602,8078085868
76.2544,13114,26.4669,98,72,67,2338,1000,3.17344,133,6.70602,8178139194
75.9705,13163,26.4669,98,72,67,2338,1000,3.17344,133,6.70602,8278193841
75.9878,13160,26.4669,98,72,67,2338,1000,3.17344,133,6.70602,8378248657
72.0461,13880,26.4669,98,72,67,2338,1000,3.17344,133,6.70602,8478268413
75.2502,13289,25.679,97,72,67,2322,1000,3.17116,133,6.70144,8578325869
103.402,9671,25.679,97,72,67,2322,1000,3.17116,133,6.70144,8678382506
74.4324,13435,25.679,97,72,67,2322,1000,3.17116,133,6.70144,8778436292
74.3163,13456,25.679,97,72,67,2322,1000,3.17116,133,6.70144,8878490938
75.6716,13215,25.679,97,72,67,2322,1000,3.17116,133,6.70144,8978544764
79.4786,12582,31.5985,97,73,67,2313,1000,3.21684,132,6.70285,9078600241
92.3958,10823,31.5985,97,73,67,2313,1000,3.21684,132,6.70285,9178654207
74.6491,13396,31.5985,97,73,67,2313,1000,3.21684,132,6.70285,9278708003
66.9478,14937,31.5985,97,73,67,2313,1000,3.21684,132,6.70285,9378763629
76.7931,13022,31.5985,97,73,67,2313,1000,3.21684,132,6.70285,9478817915
76.0919,13142,24.9695,97,73,67,2271,1000,3.24667,132,6.70078,9578871052
75.2842,13283,24.9695,97,73,67,2271,1000,3.24667,132,6.70078,9678924688
77.232,12948,24.9695,97,73,67,2271,1000,3.24667,132,6.70078,9778978344
76.5873,13057,24.9695,97,73,67,2271,1000,3.24667,132,6.70078,9879031820
77.5976,12887,24.9695,97,73,67,2271,1000,3.24667,132,6.70078,9979086067
78.4868,12741,10.5459,98,73,67,2328,1000,3.23066,132,6.70078,10079143683
79.9744,12504,10.5459,98,73,67,2328,1000,3.23066,132,6.70078,10179198319
146.092,6845,10.5459,98,73,67,2328,1000,3.23066,132,6.70078,10279253455
76.1789,13127,10.5459,98,73,67,2328,1000,3.23066,132,6.70078,10379307022
80.6192,12404,10.5459,98,73,67,2328,1000,3.23066,132,6.70078,10479360158
79.3714,12599,25.0313,98,73,67,2328,1000,3.17383,132,6.70229,10579415974
78.5855,12725,25.0313,98,73,67,2328,1000,3.17383,132,6.70229,10679472400
80.1475,12477,25.0313,98,73,67,2328,1000,3.17383,132,6.70229,10779525977
102.082,9796,25.0313,98,73,67,2328,1000,3.17383,132,6.70229,10879581493
80.7363,12386,25.0313,98,73,67,2328,1000,3.17383,132,6.70229,10979639029
74.8727,13356,39.4196,97,74,67,2311,1000,3.17498,131,6.70307,11079693275
76.3068,13105,39.4196,97,74,67,2311,1000,3.17498,131,6.70307,11179750442
74.0192,13510,39.4196,97,74,67,2311,1000,3.17498,131,6.70307,11279805498
74.2115,13475,39.4196,97,74,67,2311,1000,3.17498,131,6.70307,11379860084
80.3084,12452,39.4196,97,74,67,2311,1000,3.17498,131,6.70307,11479917320
69.1994,14451,33.3333,99,75,67,2331,1000,3.16617,132,6.71038,11579972777
77.3276,12932,33.3333,99,75,67,2331,1000,3.16617,132,6.71038,11680032703
71.582,13970,33.3333,99,75,67,2331,1000,3.16617,132,6.71038,11780089279
113.007,8849,33.3333,99,75,67,2331,1000,3.16617,132,6.71038,11880143675
69.6427,14359,33.3333,99,75,67,2331,1000,3.16617,132,6.71038,11980199591
74.8671,13357,34.2752,97,75,68,2309,1000,3.07163,131,6.70961,12080254308
77.2141,12951,34.2752,97,75,68,2309,1000,3.07163,131,6.70961,12180310644
106.011,9433,34.2752,97,75,68,2309,1000,3.07163,131,6.70961,12280364750
89.2299,11207,34.2752,97,75,68,2309,1000,3.07163,131,6.70961,12380419426
69.1276,14466,34.2752,97,75,68,2309,1000,3.07163,131,6.70961,12480477283
