os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
73.7246,13564,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,448302838
82.8363,12072,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,548356234
78.8022,12690,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,648408930
74.8167,13366,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,748461496
81.813,12223,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,848516183
90.4732,11053,10.5006,97,64,67,2340,1000,2.85212,134,6.63354,948572969
76.6225,13051,4.32633,99,63,67,2357,1000,2.85772,135,6.6203,1048628535
86.5651,11552,4.32633,99,63,67,2357,1000,2.85772,135,6.6203,1148684641
72.1293,13864,4.32633,99,63,67,2357,1000,2.85772,135,6.6203,1248754458
69.979,14290,4.32633,99,63,67,2357,1000,2.85772,135,6.6203,1348825854
73.3891,13626,4.32633,99,63,67,2357,1000,2.85772,135,6.6203,1448883080
76.2951,13107,5.09317,99,62,67,2349,1000,2.88477,134,6.62054,1548938426
86.0067,11627,5.09317,99,62,67,2349,1000,2.88477,134,6.62054,1648990392
69.2665,14437,5.09317,99,62,67,2349,1000,2.88477,134,6.62054,1749043339
69.9937,14287,5.09317,99,62,67,2349,1000,2.88477,134,6.62054,1849098565
69.6524,14357,5.09317,99,62,67,2349,1000,2.88477,134,6.62054,1949155001
77.0416,12980,6.00751,99,61,67,2347,1000,2.88477,134,6.62054,2049206857
78.4745,12743,6.00751,99,61,67,2347,1000,2.88477,134,6.62054,2149262134
79.4534,12586,6.00751,99,61,67,2347,1000,2.88477,134,6.62054,2249318700
77.006,12986,6.00751,99,61,67,2347,1000,2.88477,134,6.62054,2349373996
78.2534,12779,6.00751,99,61,67,2347,1000,2.88477,134,6.62054,2449428652
78.9889,12660,4.41176,99,60,67,2351,1000,2.88477,134,6.621,2549483899
70.0084,14284,4.41176,99,60,67,2351,1000,2.88477,134,6.621,2649537575
82.2301,12161,4.41176,99,60,67,2351,1000,2.88477,134,6.621,2749592411
71.7875,13930,4.41176,99,60,67,2351,1000,2.88477,134,6.621,2849645167
73.0887,13682,4.41176,99,60,67,2351,1000,2.88477,134,6.621,2949698034
73.8116,13548,4.63659,98,59,67,2345,1000,2.88477,133,6.62142,3049751040
72.8704,13723,4.63659,98,59,67,2345,1000,2.88477,133,6.62142,3149806396
81.8063,12224,4.63659,98,59,67,2345,1000,2.88477,133,6.62142,3249859982
73.6757,13573,4.63659,98,59,67,2345,1000,2.88477,133,6.62142,3349913199
75.861,13182,4.63659,98,59,67,2345,1000,2.88477,133,6.62142,3449966835
72.7167,13752,3.49127,99,58,68,2347,1000,2.88477,133,6.62165,3550018341
73.1315,13674,3.49127,99,58,68,2347,1000,2.88477,133,6.62165,3650071787
73.9098,13530,3.49127,99,58,68,2347,1000,2.88477,133,6.62165,3750124784
79.5418,12572,3.49127,99,58,68,2347,1000,2.88477,133,6.62165,3850177830
