os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
69.4637,14396,34.6348,94,70,63,2275,1000,3.01161,141,5.02505,7370907353
60.9496,16407,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7470967429
70.141,14257,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7571024645
63.8407,15664,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7671085501
73.8662,13538,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7771142358
43.1351,23183,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7871204864
75.2672,13286,33.2918,96,70,63,2339,1000,3.11732,142,5.02653,7971277760
75.8035,13192,30.1471,98,70,64,2404,1000,3.13064,146,5.02143,8071338286
96.8898,10321,30.1471,98,70,64,2404,1000,3.13064,146,5.02143,8171397323
77.2082,12952,30.1471,98,70,64,2404,1000,3.13064,146,5.02143,8271432819
65.8025,15197,30.1471,98,70,64,2404,1000,3.13064,146,5.02143,8371494695
68.8421,14526,30.1471,98,70,64,2404,1000,3.13064,146,5.02143,8471552311
68.6955,14557,25.3769,99,71,63,2404,1000,3.09687,144,5.02462,8571609298
79.1766,12630,25.3769,99,71,63,2404,1000,3.09687,144,5.02462,8671666354
42.2315,23679,25.3769,99,71,63,2404,1000,3.09687,144,5.02462,8771725410
65.8718,15181,25.3769,99,71,63,2404,1000,3.09687,144,5.02462,8871784556
66.1726,15112,25.3769,99,71,63,2404,1000,3.09687,144,5.02462,8971845263
64.7082,15454,33.7107,96,71,64,2336,1000,3.09687,142,5.0254,9071907039
81.1293,12326,33.7107,96,71,64,2336,1000,3.09687,142,5.0254,9171965945
69.6524,14357,33.7107,96,71,64,2336,1000,3.09687,142,5.0254,9272023081
53.1604,18811,33.7107,96,71,64,2336,1000,3.09687,142,5.0254,9372080848
74.3494,13450,33.7107,96,71,64,2336,1000,3.09687,142,5.0254,9472140054
80.8865,12363,29.1718,96,71,64,2320,1000,3.13615,141,5.02969,9572197340
61.2783,16319,29.1718,96,71,64,2320,1000,3.13615,141,5.02969,9672254796
72.2022,13850,29.1718,96,71,64,2320,1000,3.13615,141,5.02969,9772312802
83.8223,11930,29.1718,96,71,64,2320,1000,3.13615,141,5.02969,9872370809
72.2752,13836,29.1718,96,71,64,2320,1000,3.13615,141,5.02969,9972427715
40.032,24980,24.7549,99,71,64,2401,1000,3.13615,145,5.02966,10072486771
90.1632,11091,24.7549,99,71,64,2401,1000,3.13615,145,5.02966,10172544647
74.4491,13432,24.7549,99,71,64,2401,1000,3.13615,145,5.02966,10272610664
71.3674,14012,24.7549,99,71,64,2401,1000,3.13615,145,5.02966,10372668310
78.8022,12690,24.7549,99,71,64,2401,1000,3.13615,145,5.02966,10472725836
83.7591,11939,36.1282,97,71,64,2342,1000,3.17961,142,5.01706,10572782882
71.6384,13959,36.1282,97,71,64,2342,1000,3.17961,142,5.01706,10672840209
73.7572,13558,36.1282,97,71,64,2342,1000,3.17961,142,5.01706,10775013475
101.286,9873,36.1282,97,71,64,2342,1000,3.17961,142,5.01706,10875071392
81.4598,12276,36.1282,97,71,64,2342,1000,3.17961,142,5.01706,10975130838
87.6655,11407,25.3366,97,71,64,2342,1000,3.17961,142,5.0139,11075189774
88.5426,11294,25.3366,97,71,64,2342,1000,3.17961,142,5.0139,11175224210
73.0193,13695,25.3366,97,71,64,2342,1000,3.17961,142,5.0139,11275282027
77.1188,12967,25.3366,97,71,64,2342,1000,3.17961,142,5.0139,11375343973
73.551,13596,25.3366,97,71,64,2342,1000,3.17961,142,5.0139,11475401819
51.0543,19587,15.231,96,72,64,2339,1000,3.17961,141,5.01605,11575459095
64.8088,15430,15.231,96,72,64,2339,1000,3.17961,141,5.01605,11675516982
80.7103,12390,15.231,96,72,64,2339,1000,3.17961,141,5.01605,11775575268
71.8546,13917,15.231,96,72,64,2339,1000,3.17961,141,5.01605,11875632554
78.796,12691,15.231,96,72,64,2339,1000,3.17961,141,5.01605,11975693860
66.8941,14949,28.4663,99,72,65,2391,1000,3.02138,142,5.01525,12075756557
74.8335,13363,28.4663,99,72,65,2391,1000,3.02138,142,5.01525,12175814443
43.4254,23028,28.4663,99,72,65,2391,1000,3.02138,142,5.01525,12275874309
78.7216,12703,28.4663,99,72,65,2391,1000,3.02138,142,5.01525,12375936885
81.9068,12209,28.4663,99,72,65,2391,1000,3.02138,142,5.01525,12475994632
69.4927,14390,38.3085,98,73,64,2389,1000,3.10931,141,5.01324,12576055328
65.8545,15185,38.3085,98,73,64,2389,1000,3.10931,141,5.01324,12676114044
84.0407,11899,38.3085,98,73,64,2389,1000,3.10931,141,5.01324,12776170710
77.226,12949,38.3085,98,73,64,2389,1000,3.10931,141,5.01324,12876229507
71.5922,13968,38.3085,98,73,64,2389,1000,3.10931,141,5.01324,12976288343
86.192,11602,36.9077,98,73,64,2387,1000,3.06145,140,5.01852,13076345959
71.8546,13917,36.9077,98,73,64,2387,1000,3.06145,140,5.01852,13176406475
76.5111,13070,36.9077,98,73,64,2387,1000,3.06145,140,5.01852,13276480571
82.631,12102,36.9077,98,73,64,2387,1000,3.06145,140,5.01852,13376537868
96.2371,10391,36.9077,98,73,64,2387,1000,3.06145,140,5.01852,13476595564
62.4415,16015,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,13576654560
95.4472,10477,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,13676713216
36.0269,27757,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,13776773823
90.5715,11041,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,13876831179
54.0804,18491,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,13976891365
77.9545,12828,38.0368,98,73,65,2388,1000,3.02512,140,5.02218,14076948601
92.7128,10786,39.8034,97,74,64,2371,1000,3.02526,139,5.02343,14177005748
102.775,9730,39.8034,97,74,64,2371,1000,3.02526,139,5.02343,14277062624
85.6458,11676,39.8034,97,74,64,2371,1000,3.02526,139,5.02343,14377119930
88.1213,11348,39.8034,97,74,64,2371,1000,3.02526,139,5.02343,14477178166
95.6938,10450,39.8034,97,74,64,2371,1000,3.02526,139,5.02343,14577239453
87.6347,11411,31.8893,96,73,65,2298,1000,3.05092,137,5.02591,14677296909
