os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
88.5426,11294,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,49391210
82.149,12173,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,149442051
86.9187,11505,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,249493242
81.7595,12231,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,349544783
85.6972,11669,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,449596184
79.8658,12521,33.0012,97,74,62,2446,1000,2.62815,156,6.53234,549650115
143.349,6976,30.1587,99,74,62,2464,1000,2.65205,157,6.53011,649701076
80.7037,12391,30.1587,99,74,62,2464,1000,2.65205,157,6.53011,749753627
82.0681,12185,30.1587,99,74,62,2464,1000,2.65205,157,6.53011,849804557
74.5879,13407,30.1587,99,74,62,2464,1000,2.65205,157,6.53011,949857458
76.7165,13035,30.1587,99,74,62,2464,1000,2.65205,157,6.53011,1049908919
87.4661,11433,33.7438,99,74,63,2464,1000,2.8192,157,6.52816,1149958820
77.7363,12864,33.7438,99,74,63,2464,1000,2.8192,157,6.52816,1250011211
65.8979,15175,33.7438,99,74,63,2464,1000,2.8192,157,6.52816,1350065812
75.7117,13208,33.7438,99,74,63,2464,1000,2.8192,157,6.52816,1450116763
69.2329,14444,33.7438,99,74,63,2464,1000,2.8192,157,6.52816,1550174424
73.416,13621,36.0837,98,74,62,2452,1000,2.8127,157,6.52625,1650226805
245.399,4075,36.0837,98,74,62,2452,1000,2.8127,157,6.52625,1750279756
74.4879,13425,36.0837,98,74,62,2452,1000,2.8127,157,6.52625,1850332807
91.0581,10982,36.0837,98,74,62,2452,1000,2.8127,157,6.52625,1950383948
78.672,12711,36.0837,98,74,62,2452,1000,2.8127,157,6.52625,2050439628
72.9661,13705,41.4815,88,74,63,2182,1000,2.8045,150,6.53087,2150491309
70.8617,14112,41.4815,88,74,63,2182,1000,2.8045,150,6.53087,2250541870
76.4234,13085,41.4815,88,74,63,2182,1000,2.8045,150,6.53087,2350592631
95.3016,10493,41.4815,88,74,63,2182,1000,2.8045,150,6.53087,2450644642
