0.1% Min FPS,1% Min FPS,97% Percentile FPS,Average FPS,GPU Load,CPU Load
26.7,32.5,87.5,70.6,98.3,15.2
20.2,29.6,96.2,72.9,98.0,17.8
31.2,39.8,98.6,73.5,98.3,19.7
38.2,40.2,89.6,71.1,98.4,16.3
45.3,45.9,89.2,72.4,98.3,12.7
48.8,54.1,91.7,71.7,98.5,10.7
