os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
85.9402,11636,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,22295656
89.4534,11179,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,122351632
78.2411,12781,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,222407969
82.7883,12079,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,322464315
53.7403,18608,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,422520641
80.5218,12419,26.6089,98,79,67,2382,1000,3.22762,138,8.08517,522577287
76.0977,13141,31.7343,98,79,67,2368,1000,3.24712,137,8.05319,622633564
81.1425,12324,31.7343,98,79,67,2368,1000,3.24712,137,8.05319,722690150
76.6812,13041,31.7343,98,79,67,2368,1000,3.24712,137,8.05319,822746896
78.3638,12761,31.7343,98,79,67,2368,1000,3.24712,137,8.05319,922803842
78.7898,12692,31.7343,98,79,67,2368,1000,3.24712,137,8.05319,1022860359
75.1597,13305,17.0823,99,79,67,2378,1000,3.20535,138,8.05199,1122916705
76.9349,12998,17.0823,99,79,67,2378,1000,3.20535,138,8.05199,1222973391
76.4,13089,17.0823,99,79,67,2378,1000,3.20535,138,8.05199,1323029597
76.8521,13012,17.0823,99,79,67,2378,1000,3.20535,138,8.05199,1423084954
76.4526,13080,17.0823,99,79,67,2378,1000,3.20535,138,8.05199,1523141670
75.9128,13173,5.59611,99,77,67,2377,1000,3.25042,137,8.05001,1623197736
69.4203,14405,5.59611,99,77,67,2377,1000,3.25042,137,8.05001,1723257572
73.9372,13525,5.59611,99,77,67,2377,1000,3.25042,137,8.05001,1823314779
71.9787,13893,5.59611,99,77,67,2377,1000,3.25042,137,8.05001,1923372015
73.654,13577,5.59611,99,77,67,2377,1000,3.25042,137,8.05001,2023433561
76.8758,13008,6.77966,99,75,67,2373,1000,3.28116,137,8.05397,2123491107
70.8316,14118,6.77966,99,75,67,2373,1000,3.28116,137,8.05397,2223548774
71.0682,14071,6.77966,99,75,67,2373,1000,3.28116,137,8.05397,2323607870
71.8546,13917,6.77966,99,75,67,2373,1000,3.28116,137,8.05397,2423667046
70.6864,14147,6.77966,99,75,67,2373,1000,3.28116,137,8.05397,2523726632
110.693,9034,9.39024,99,74,67,2373,1000,3.22708,136,8.0587,2623784168
66.7468,14982,9.39024,99,74,67,2373,1000,3.22708,136,8.0587,2723843685
66.2691,15090,9.39024,99,74,67,2373,1000,3.22708,136,8.0587,2823902981
68.6719,14562,9.39024,99,74,67,2373,1000,3.22708,136,8.0587,2923964907
67.0196,14921,9.39024,99,74,67,2373,1000,3.22708,136,8.0587,3024023033
67.0691,14910,37.9902,97,75,67,2356,1000,3.30566,135,8.05874,3124079670
69.3722,14415,37.9902,97,75,67,2356,1000,3.30566,135,8.05874,3224137086
69.2569,14439,37.9902,97,75,67,2356,1000,3.30566,135,8.05874,3324193272
80.2246,12465,37.9902,97,75,67,2356,1000,3.30566,135,8.05874,3424251118
