os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
42.3783,23597,36.253,99,79,67,2384,1000,3.06023,138,8.08557,137310776
88.6446,11281,36.253,99,79,67,2384,1000,3.06023,138,8.08557,237367203
262.881,3804,36.253,99,79,67,2384,1000,3.06023,138,8.08557,337427229
69.7156,14344,36.253,99,79,67,2384,1000,3.06023,138,8.08557,437483465
97.8569,10219,36.253,99,79,67,2384,1000,3.06023,138,8.08557,537543221
74.8279,13364,36.253,99,79,67,2384,1000,3.06023,138,8.08557,637599928
88.6132,11285,40.3004,95,79,67,2318,1000,3.06023,137,8.04317,737655454
76.0803,13144,40.3004,95,79,67,2318,1000,3.06023,137,8.04317,837711610
97.1062,10298,40.3004,95,79,67,2318,1000,3.06023,137,8.04317,937768016
76.0745,13145,40.3004,95,79,67,2318,1000,3.06023,137,8.04317,1037828953
88.1757,11341,40.3004,95,79,67,2318,1000,3.06023,137,8.04317,1137884589
80.6452,12400,28.801,98,79,67,2380,1000,3.08766,138,8.04144,1237942525
80.3406,12447,28.801,98,79,67,2380,1000,3.08766,138,8.04144,1337998001
82.8912,12064,28.801,98,79,67,2380,1000,3.08766,138,8.04144,1438054078
82.481,12124,28.801,98,79,67,2380,1000,3.08766,138,8.04144,1538111854
273.373,3658,28.801,98,79,67,2380,1000,3.08766,138,8.04144,1638170210
76.646,13047,24.0397,99,79,67,2372,1000,3.11856,136,8.04473,1738228276
65.3637,15299,24.0397,99,79,67,2372,1000,3.11856,136,8.04473,1838288392
60.0528,16652,24.0397,99,79,67,2372,1000,3.11856,136,8.04473,1938346739
84.7889,11794,24.0397,99,79,67,2372,1000,3.11856,136,8.04473,2038403795
56.1703,17803,24.0397,99,79,67,2372,1000,3.11856,136,8.04473,2138461661
61.3309,16305,44.6756,96,79,67,2274,1000,3.16113,133,8.04771,2238519827
76.4526,13080,44.6756,96,79,67,2274,1000,3.16113,133,8.04771,2338579244
74.8615,13358,44.6756,96,79,67,2274,1000,3.16113,133,8.04771,2438637580
73.0834,13683,44.6756,96,79,67,2274,1000,3.16113,133,8.04771,2538699906
71.7772,13932,44.6756,96,79,67,2274,1000,3.16113,133,8.04771,2638756512
35.548,28131,26.0494,99,79,67,2391,1000,3.1548,138,8.04909,2738816549
84.6024,11820,26.0494,99,79,67,2391,1000,3.1548,138,8.04909,2838874085
77.0001,12987,26.0494,99,79,67,2391,1000,3.1548,138,8.04909,2938930291
76.8285,13016,26.0494,99,79,67,2391,1000,3.1548,138,8.04909,3038986257
43.3032,23093,26.0494,99,79,67,2391,1000,3.1548,138,8.04909,3139042104
82.7609,12083,36.2283,97,79,67,2326,1000,3.19217,134,8.04591,3239100320
77.9727,12825,36.2283,97,79,67,2326,1000,3.19217,134,8.04591,3339158116
71.4694,13992,36.2283,97,79,67,2326,1000,3.19217,134,8.04591,3439216572
85.9328,11637,36.2283,97,79,67,2326,1000,3.19217,134,8.04591,3539274659
61.1322,16358,36.2283,97,79,67,2326,1000,3.19217,134,8.04591,3639333305
