os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
79.4092,12593,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,66186287
69.2042,14450,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,166244553
70.492,14186,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,266311719
81.8934,12211,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,366379416
74.7384,13380,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,466448812
69.9594,14294,5.73871,99,70,63,2452,1000,3.16468,151,6.90949,566518268
79.4281,12590,9.18114,98,69,63,2432,1000,3.16213,149,6.88102,666574684
81.9605,12201,9.18114,98,69,63,2432,1000,3.16213,149,6.88102,766631051
81.3802,12288,9.18114,98,69,63,2432,1000,3.16213,149,6.88102,866688417
69.6718,14353,9.18114,98,69,63,2432,1000,3.16213,149,6.88102,966744503
79.4155,12592,9.18114,98,69,63,2432,1000,3.16213,149,6.88102,1066800869
84.8752,11782,4.42804,99,68,63,2444,1000,3.16213,149,6.86741,1166867136
68.88,14518,4.42804,99,68,63,2444,1000,3.16213,149,6.86741,1266925562
83.956,11911,4.42804,99,68,63,2444,1000,3.16213,149,6.86741,1366950178
65.9805,15156,4.42804,99,68,63,2444,1000,3.16213,149,6.86741,1467007444
76.3068,13105,4.42804,99,68,63,2444,1000,3.16213,149,6.86741,1567065371
72.2022,13850,6.0794,99,67,63,2443,1000,3.16582,149,6.87306,1667122787
76.6518,13046,6.0794,99,67,63,2443,1000,3.16582,149,6.87306,1767179733
69.4252,14404,6.0794,99,67,63,2443,1000,3.16582,149,6.87306,1867236029
65.7808,15202,6.0794,99,67,63,2443,1000,3.16582,149,6.87306,1967292895
67.6865,14774,6.0794,99,67,63,2443,1000,3.16582,149,6.87306,2067350252
145.858,6856,19.4377,98,66,63,2441,1000,3.20301,148,6.87885,2167407808
78.0884,12806,19.4377,98,66,63,2441,1000,3.20301,148,6.87885,2267466024
65.4622,15276,19.4377,98,66,63,2441,1000,3.20301,148,6.87885,2367526520
76.4175,13086,19.4377,98,66,63,2441,1000,3.20301,148,6.87885,2467583337
73.8989,13532,19.4377,98,66,63,2441,1000,3.20301,148,6.87885,2567640733
76.2718,13111,26.0073,97,67,63,2352,1000,3.26527,144,6.88029,2667697629
85.7633,11660,26.0073,97,67,63,2352,1000,3.26527,144,6.88029,2767755365
63.3673,15781,26.0073,97,67,63,2352,1000,3.26527,144,6.88029,2867810992
108.743,9196,26.0073,97,67,63,2352,1000,3.26527,144,6.88029,2967866378
62.7589,15934,26.0073,97,67,63,2352,1000,3.26527,144,6.88029,3067982634
62.6409,15964,31.4746,99,67,63,2433,1000,3.28014,148,6.87814,3168041930
71.8442,13919,31.4746,99,67,63,2433,1000,3.28014,148,6.87814,3268099187
77.5374,12897,31.4746,99,67,63,2433,1000,3.28014,148,6.87814,3368155573
64.6078,15478,31.4746,99,67,63,2433,1000,3.28014,148,6.87814,3468213969
